Time,x,y_lo,y_hi
09:31:12.472,60300,142,145
09:31:12.475,60302,142,145
09:31:12.478,60300,142,145
09:31:12.495,60302,142,145
09:31:12.527,60300,142,145
09:31:12.715,60297,142,145
09:31:12.721,60295,142,145
09:31:12.779,60297,142,145
09:31:12.788,60300,142,145
09:31:12.926,60302,142,145
09:31:12.967,60300,142,145
09:31:13.065,60302,142,145
09:31:13.088,60300,142,145
09:31:13.112,60302,142,145
09:31:13.157,60305,142,145
09:31:13.160,60307,142,145
09:31:13.188,60305,142,145
09:31:13.227,60307,142,145
09:31:13.898,60310,142,145
09:31:14.576,60307,142,145
09:31:14.677,60305,142,145
09:31:14.760,60302,142,145
09:31:15.034,60300,142,145
09:31:15.034,60302,142,145
09:31:15.086,60300,142,145
09:31:15.117,60302,142,145
09:31:15.225,60300,142,145
09:31:15.294,60302,142,145
09:31:15.681,60300,142,145
09:31:15.835,60297,142,145
09:31:15.838,60295,142,145
09:31:15.842,60297,142,145
09:31:15.884,60300,142,145
09:31:15.917,60297,142,145
09:31:15.937,60300,142,145
09:31:16.265,60297,142,145
09:31:16.285,60295,142,145
09:31:16.782,60297,142,145
09:31:16.783,60300,142,145
09:31:17.086,60297,142,145
09:31:17.205,60295,142,145
09:31:17.560,60292,142,145
09:31:17.854,60290,140,145
09:31:17.861,60287,140,145
09:31:17.861,60290,140,145
09:31:18.203,60292,140,145
09:31:18.331,60290,140,145
09:31:18.331,60292,140,145
09:31:18.491,60290,140,145
09:31:18.491,60292,140,145
09:31:18.491,60290,140,145
09:31:18.521,60287,140,145
09:31:18.788,60290,140,145
09:31:19.283,60292,140,145
09:31:19.366,60290,140,145
09:31:19.708,60287,140,145
09:31:19.875,60290,140,145
09:31:20.061,60292,140,145
09:31:20.135,60290,140,145
09:31:20.193,60292,140,145
09:31:20.268,60295,142,145
09:31:20.905,60292,142,145
09:31:21.069,60295,142,145
09:31:21.248,60297,142,145
09:31:21.510,60295,142,145
09:31:21.538,60292,142,145
09:31:21.540,60290,142,145
09:31:21.541,60292,140,145
09:31:21.541,60290,140,145
09:31:21.542,60292,140,145
09:31:21.700,60290,140,145
09:31:22.352,60292,140,145
09:31:22.372,60290,140,145
09:31:22.372,60292,140,145
09:31:22.375,60290,140,145
09:31:22.375,60292,140,145
09:31:22.750,60290,140,145
09:31:23.567,60292,140,145
09:31:23.572,60290,140,145
09:31:23.573,60292,140,145
09:31:23.644,60290,140,145
09:31:23.864,60287,140,145
09:31:23.864,60285,140,145
09:31:23.864,60287,140,145
09:31:23.865,60290,140,145
09:31:23.866,60287,140,145
09:31:23.868,60290,140,145
09:31:23.876,60287,140,145
09:31:24.007,60290,140,145
09:31:24.199,60287,140,145
09:31:24.200,60285,140,145
09:31:24.203,60287,140,145
09:31:24.320,60290,140,145
09:31:24.361,60292,140,145
09:31:24.595,60290,140,145
09:31:25.124,60287,140,145
09:31:25.236,60285,140,145
09:31:25.295,60282,140,145
09:31:25.297,60280,140,145
09:31:25.301,60282,140,145
09:31:25.498,60285,140,145
09:31:25.536,60282,140,145
09:31:25.847,60285,140,145
09:31:25.855,60282,140,145
09:31:25.929,60285,140,145
09:31:26.029,60282,140,145
09:31:26.249,60285,140,145
09:31:27.194,60287,140,145
09:31:27.194,60285,140,145
09:31:28.193,60287,140,145
09:31:28.193,60285,140,145
09:31:28.232,60287,140,145
09:31:28.232,60285,140,145
09:31:28.407,60287,140,145
09:31:28.407,60285,140,145
09:31:28.639,60287,140,145
09:31:28.665,60285,140,145
09:31:28.849,60282,140,145
09:31:28.886,60285,140,145
09:31:29.510,60282,140,145
09:31:29.648,60280,140,145
09:31:29.648,60277,140,145
09:31:29.648,60280,140,145
09:31:29.648,60277,140,145
09:31:29.651,60280,140,145
09:31:29.651,60277,140,145
09:31:29.763,60275,140,145
09:31:29.764,60277,140,145
09:31:30.078,60275,140,145
09:31:30.287,60277,140,145
09:31:30.291,60280,140,145
09:31:30.294,60282,140,145
09:31:30.294,60280,140,145
09:31:30.339,60277,140,145
09:31:30.488,60275,140,145
09:31:30.489,60277,140,145
09:31:30.503,60275,140,145
09:31:30.628,60272,140,145
09:31:30.721,60270,140,142
09:31:30.721,60267,140,142
09:31:30.723,60270,140,142
09:31:30.958,60272,140,142
09:31:31.048,60275,140,142
09:31:31.050,60277,140,142
09:31:31.497,60280,140,142
09:31:31.498,60277,140,142
09:31:31.498,60280,140,142
09:31:31.498,60277,140,142
09:31:31.788,60280,140,142
09:31:31.788,60277,140,142
09:31:31.789,60280,140,142
09:31:31.790,60277,140,142
09:31:31.903,60280,140,142
09:31:31.903,60277,140,142
09:31:32.335,60275,140,142
09:31:32.336,60272,140,142
09:31:32.897,60275,140,142
09:31:33.002,60272,140,142
09:31:33.003,60270,140,142
09:31:33.008,60272,140,142
09:31:33.013,60270,140,142
09:31:33.135,60272,140,142
09:31:33.137,60275,140,142
09:31:33.397,60277,140,142
09:31:33.397,60275,140,142
09:31:33.398,60277,140,142
09:31:33.398,60275,140,142
09:31:33.490,60277,140,142
09:31:33.819,60280,140,142
09:31:33.822,60277,140,142
09:31:33.868,60280,140,142
09:31:34.023,60282,140,142
09:31:34.052,60285,140,142
09:31:34.053,60282,140,142
09:31:34.113,60285,140,142
09:31:34.349,60287,140,142
09:31:34.529,60290,140,145
09:31:34.681,60287,140,145
09:31:34.684,60285,140,145
09:31:34.822,60282,140,145
09:31:35.057,60280,140,145
09:31:35.113,60282,140,145
09:31:35.313,60285,140,145
09:31:35.397,60287,140,145
09:31:35.398,60285,140,145
09:31:36.053,60287,140,145
09:31:36.273,60290,140,145
09:31:36.273,60287,140,145
09:31:36.460,60290,140,145
09:31:36.463,60292,140,145
09:31:36.464,60290,140,145
09:31:36.467,60287,140,145
09:31:36.473,60290,140,145
09:31:36.585,60287,140,145
09:31:37.043,60290,140,145
09:31:37.325,60292,140,145
09:31:37.325,60290,140,145
09:31:37.442,60292,140,145
09:31:37.447,60290,140,145
09:31:37.458,60292,140,145
09:31:37.459,60290,140,145
09:31:37.459,60292,140,145
09:31:37.596,60290,140,145
09:31:37.597,60292,140,145
09:31:38.725,60290,142,145
09:31:38.839,60292,140,145
09:31:38.927,60295,140,145
09:31:39.308,60297,142,145
09:31:39.312,60295,142,145
09:31:39.594,60297,142,145
09:31:40.022,60300,142,145
09:31:40.027,60302,142,145
09:31:40.030,60300,142,145
09:31:40.100,60302,142,145
09:31:40.102,60300,142,145
09:31:40.647,60302,142,145
09:31:40.690,60305,142,145
09:31:40.693,60302,142,145
09:31:40.792,60305,142,145
09:31:40.889,60302,142,145
09:31:41.258,60305,142,145
09:31:41.301,60307,142,145
09:31:41.301,60305,142,145
09:31:41.301,60302,142,145
09:31:41.302,60305,142,145
09:31:41.302,60307,142,145
09:31:41.303,60305,142,145
09:31:41.487,60302,142,145
09:31:41.555,60305,142,145
09:31:41.694,60302,142,145
09:31:42.259,60305,142,145
09:31:42.262,60307,142,145
09:31:42.263,60305,142,145
09:31:42.495,60302,142,145
09:31:42.495,60305,142,145
09:31:42.497,60307,142,145
09:31:42.499,60305,142,145
09:31:42.586,60302,142,145
09:31:42.592,60300,142,145
09:31:42.663,60297,142,145
09:31:42.694,60300,142,145
09:31:42.948,60297,142,145
09:31:43.061,60300,142,145
09:31:43.153,60302,142,145
09:31:43.205,60305,142,145
09:31:43.620,60307,142,145
09:31:43.621,60305,142,145
09:31:44.087,60307,142,145
09:31:45.161,60310,142,145
09:31:45.163,60312,142,145
09:31:45.167,60310,142,145
09:31:45.167,60312,142,145
09:31:45.258,60310,142,145
09:31:45.313,60307,142,145
09:31:45.314,60310,142,145
09:31:45.362,60307,142,145
09:31:45.365,60305,142,145
09:31:45.625,60302,142,145
09:31:45.627,60300,142,145
09:31:45.635,60297,142,145
09:31:45.636,60300,142,145
09:31:46.074,60302,142,145
09:31:46.090,60305,142,145
09:31:46.091,60302,142,145
09:31:46.153,60305,142,145
09:31:46.531,60307,142,145
09:31:46.531,60310,142,145
09:31:46.532,60307,142,145
09:31:46.532,60310,142,145
09:31:46.688,60307,142,145
09:31:46.971,60310,142,145
09:31:47.482,60307,142,145
09:31:47.483,60305,142,145
09:31:47.903,60307,142,145
09:31:47.903,60305,142,145
09:31:47.903,60307,142,145
09:31:47.904,60310,142,145
09:31:47.904,60307,142,145
09:31:47.906,60305,142,145
09:31:48.129,60307,142,145
09:31:48.130,60310,142,145
09:31:48.480,60307,142,145
09:31:48.481,60305,142,145
09:31:48.542,60307,142,145
09:31:48.697,60310,142,145
09:31:48.707,60312,142,145
09:31:48.904,60315,142,145
09:31:48.905,60312,142,145
09:31:48.905,60315,142,145
09:31:48.914,60312,142,145
09:31:48.914,60315,142,145
09:31:49.038,60312,142,145
09:31:49.179,60315,142,145
09:31:49.484,60317,142,145
09:31:49.485,60320,142,145
09:31:49.488,60317,142,145
09:31:49.512,60320,142,145
09:31:49.598,60322,142,145
09:31:49.601,60325,142,145
09:31:49.847,60327,142,147
09:31:50.119,60330,142,147
09:31:50.176,60327,142,147
09:31:50.176,60330,142,147
09:31:50.177,60332,142,147
09:31:50.278,60335,145,147
09:31:50.303,60337,145,147
09:31:50.481,60340,145,147
09:31:50.688,60342,145,147
09:31:50.693,60345,145,147
09:31:50.694,60342,145,147
09:31:50.696,60345,145,147
09:31:50.712,60342,145,147
09:31:50.719,60345,145,147
09:31:50.790,60347,145,147
09:31:50.924,60345,145,147
09:31:51.004,60342,145,147
09:31:51.138,60345,145,147
09:31:51.174,60347,145,147
09:31:51.174,60345,145,147
09:31:51.256,60347,145,147
09:31:51.263,60350,145,147
09:31:51.267,60347,145,147
09:31:51.296,60350,145,147
09:31:51.297,60352,145,147
09:31:51.302,60355,145,150
09:31:51.354,60352,145,150
09:31:51.354,60355,145,150
09:31:51.355,60352,145,150
09:31:51.374,60355,145,150
09:31:51.394,60357,145,150
09:31:51.405,60355,145,150
09:31:51.456,60357,145,150
09:31:51.502,60360,145,150
09:31:51.502,60357,145,150
09:31:51.506,60355,145,150
09:31:51.655,60352,145,150
09:31:51.656,60355,145,150
09:31:51.657,60352,145,150
09:31:51.657,60355,145,150
09:31:51.696,60357,145,150
09:31:51.706,60355,145,150
09:31:51.716,60352,145,150
09:31:51.735,60355,145,150
09:31:51.765,60352,145,150
09:31:51.800,60350,145,150
09:31:51.863,60352,145,147
09:31:51.883,60355,145,150
09:31:51.912,60352,145,150
09:31:51.943,60350,145,150
09:31:51.947,60352,145,147
09:31:51.976,60355,145,150
09:31:52.075,60352,145,150
09:31:52.113,60355,145,150
09:31:52.139,60357,145,150
09:31:52.169,60355,145,150
09:31:52.280,60357,145,150
09:31:52.313,60355,145,150
